柔軟	róuruăn	supple	我們說：「需要一個強壯的背脊，但柔軟的顏面。」
有機	yǒujī	organic	但模式都是一樣。幾乎我們已經研究了的每一個有機體都是這種方式 
物產	wùchăn	Property	瘧疾已對舊的藥物產生抗藥性，直到我們開發出新藥才抑制下來；
星座	xīngzuò	constellation	於是, 我開始去閱讀我的天秤座星座運程，
慶幸	qìngxìng	Glad	然而值得慶幸的是,大部分的女性都會存活下來
上司	shàngsī	boss	像現在在工作上，我也得到了一些上司的認同以及提拔。
選民	xuănmín	elector	於是我問其中一個選民，我說：「你要把票投給誰？」
交涉	jiāoshè	negotiate	結果是不錯的，因爲幾乎每間我們交涉過的廣告公司
粗糙	cūcāo	rough	假如我們想要去檢驗他們的感知能力，可能會發現它還是相當原始，粗糙。
遺產	yíchăn	heritage	至少一半以上的經費，也已經回饋給人類遺產保存基金會
宣言	xuānyán	manifesto	他說, "如果我曾經用我畢生的心力去完成一件事, 那這宣言就是那件事
不便	búbiàn	inconvenient	這樣我就可以把它移到室內，讓行動不便的小朋友也可以動手
接管	jiēguăn	take over	之間就誰有權利接管、應該接管哪個部份發生了爭執，
難關	nánguān	Difficulties	我思量一番，有什麽技術難關，或者，我想如何演繹。
名氣	míngqì	Fame	而其中一樣我們都曾經擁有的，我們所有人，就是名氣，
一流	yìliú	Class	這位女士名叫艾倫.馮.德.茲威普。她是世界一流的訓狗師
找尋	zhăoxún	look for	直到今天也仍致力於找尋在城市之間、通過城際組織共同的工作道路。
不懈	búxiè	untiring	遭受重擊 (廣告台詞前半段，後接"仍不懈怠")
許多	xŭduō	many	麻省理工學院、加州大學舊金山分校、加州大學洛杉磯分校、以及其他許多的機構。
報價	bàojià	quote	及時的散佈市場資訊和電子報價給國內各地的農夫，
相配	xiāngpèi	match	跑馬新聞字幕的人，也要用一些正面報導互相配合。
買主	măizhŭ	buyer	買主往往在買了不動產之後就負債
觀看	guānzì	watch	如果這建築物的外觀看起來這麼熱鬧瘋狂，怎麼我不讓你們看內部的照片
保管	băoguăn	custody	所以我將會請您幫我保管一大筆錢。
鉛	qiān	lead	這個點子是--因為大家易忽略白色--就像鉛筆畫一樣，你知道吧？
濫用	lànyòng	abuse	那就是在給濫用開通行證。他們明明了解後果，卻任其發生。
樓房	lóufáng	building	我印像中有十一棟樓房在拆除過程中使用了炸藥
惡化	èhuà	deteriorate	因為只有情況惡化時 你才會知道氧氣供應不足
協調	xiétiáo	harmonize	「瑞格·伊，甚麼是從節拍到音調的協調？」 (眾笑)
淪陷	lúnxiàn	Fall	歐洲最後一個穆斯林領土淪陷。
進軍	jìnjūn	Enter	因此我就想："恩，既然我們走不進政府，那我們就走進軍方。"
效力	xiàolì	effectiveness	為他效力的人都身著同樣款式，同色的制服。
老人家	lăorénjiā	Elderly	所以大部分都是大學生和老人家在做這個工作，
書面	shūmiàn	Written	史無前例的慷慨行為--政府簽訂、立了書面承諾，替所有債權人還債。
懷念	huáiniàn	Miss	沒人會懷念我幾個星期前在卡梅爾海灘上為那隻狗所照的相片，
通緝	tōngqì	Wanted	通緝令在他的案件審理結束後的
判	pàn	judge	建築可以是寫字樓，會議中心，和平談判的地方等等，各種建築都可以
開路	kāilù	Open	而大部分先進的藝術家也只是在媒介中開路
吃驚	chījīng	startled	另我吃驚的是，當我開始認真地研究基督教以外的其他宗教時
通貨膨脹	tōnghuòpé	inflation	一般來看，整個非洲的通貨膨脹都在下降 
職責	zhízé	Duty	他們的職責，就是要保護那些不知道什麼是最棒的人。
講習	jiăngxí	Assembly	開辦講習班
觀測	guāncè	observation	所以我想舉個例子，讓各位知道我們是如何用紅外線來進行另類觀測
發誓	fāshì	swear	而那女孩說, "我知道, 說真的, 我可以向上帝發誓,
客機	kèjī	airliner	而且還是在缺乏商用客機的時代背景下
遺址	yízhǐ	Site	我們反覆思考這個遺址，考慮大家想要紀念親人的渴望，
風潮	fēngcháo	Trend	他們就是這樣做，這股「把事情做對」的風潮已經蔓延開來了，
輕蔑	qīngmiè	disdain	＂視覺特效＂聽起來有點輕蔑耶，你不覺得嗎？
愁	chóu	worry about	「我覺得自己被一片愁雲慘霧所籠罩，完全走不出去。」
末	mò	end	只是假設 -- 儘管有許多人對未來有悲觀的預測( 世界末日等 ) 
極力	jílì	Strongly	他們可能是極力養育一切的神,也有可能是一個自食其力的生物
墓	mù	tomb	這裏是擺滿沒有蜜蜂的空空的白盒子的(蜜蜂的)墓地。
融合	rónghé	Fusion	包括非典型病毒、間質肺炎病毒、愛滋病毒、呼吸融合瘤病毒 -- 等等。
流星	liúxīng	meteor	這是流星撞擊地球時,由速度與高熱所造成的，
極為	jíwèi	Extremely	但是在我進入這些話題之前，我必須向大家承認我是個極為樂觀的人。
指頭	zhǐtóu	finger	就像大部分的食肉動物一樣，牠們用腳指頭走路。
身教	shēnjiào	Teaching	我是一個終身教授，什麼意思呢？基本上，我可以不用工作了
規範	guīfàn	specification	我們確認它符合建築設計規範--比規範還能承受更多重量
公民	gōngmín	citizen	這些恐怖分子並不是外來的入侵者，而是在英國土生土長的公民
身子	shēnzi	body	這最終是因為均勻分佈的足，在這種情況下，它的整個身子都扮演著腳的角色。
星辰	xīngchén	stars	如果他們也仰望星空，凝視著同一顆星辰，
泡沫	pàomò	foam	有往上跑的氣泡，然後最上面是用凸起的磁磚做成的泡沫。
贓物	zāngwù	stolen goods	在你的國家, 如果你收到贓物, 你會不會被起訴呢?
工地	gōngdì	building site	就是我們一般在建築工地所看到的那種合成板材而已，
效法	xiàofă	imitate	每年他們都大量效法美國的方式
進攻	jìngōng	offensive	使進攻的好處變為零。那就會消除因為擔心他人會先幹掉你
束縛	shùfú	bondage	文學豐富了他的內在生命,使他掙脫超越了環境束縛.
公債	gōngzhài	government bond	聯邦政府的公債也在持續上升
友愛	yǒuài	friendship	一項就是向你所在的人類社區表示關懷和友愛。
困	kùn	sleepy	分析這個數據是很困難的。原稿都是待掃描及翻譯，一張張寫著阿拉伯語字的紙。
冷門	lěngmén	Popular	這個節目在宗教議題十分冷門的英國播出後，非常的成功
感受	gănshòu	feel	然後你就可以感受到有一股愛的力量向他們前進,因為你希望他們可以高興
促銷	cùxiāo	sales promotion	這是一套價值二千元的夏威夷假日套票，現在促銷價是一千六百元
次要	cìyào	minor	就好像這是他們的全部，而他們主要也就是只有做這些事。常常是這樣，次要的目標
主角	zhŭjiăo	protagonist	這是系列產品的第一款，描述女主角洛綺特第一天上學的經歷
呼籲	hūyù	Called	好消息是，我不需要站在台上，呼籲你們去關心
助手	zhùshǒu	aides	但是我又想到了卡斯特，我可愛的助手，來做這件事。
快活	kuàihuó	Jolly	我的那一天過得比聖誕老人還快活。
期貨	qíhuò	futures	或者期貨市場在哪裡？』誰會想到埃及？
督促	dūcù	Urge	她會督促你，然後我就真的做到了。
起伏	qǐfú	undulating	這也正是在豬死掉之前，接著豬就死掉了，它變成沒有起伏的水平線。
素食	sùshí	vegetarian diet	我不是一位素食主義者 -- 這聽起來好像是尼克森的用語吧！
抱負	bàofù	ambition	有沒有什麼忠告給有抱負的韓國舞者？」
平凡	píngfán	Ordinary	因為這些事務中都包含一個深奧的道德,所以不平凡.(一花一世界）
庫存	kùcún	inventory	還有口罩，和所有聯邦庫存的防治物資
拜拜	bàibài	Bye	因此我們又要跟一種恐龍說拜拜了
木偶	mùǒu	puppet	如果我們相信這樣的推理,我們必須完全放棄木偶大師的上帝形象，
過敏	guòmǐn	allergic	我希望我的演說能讓你不再認為花粉只是引起鼻子過敏的東西。
亦	yì	also	於是他們(即使)於中間世界的流程上亦逐漸(對量子微世道)熟悉起來。
撤回	chèhuí	withdraw	還有「只因我撤回修改，阿儂就攻擊我」。
課業	kèyè	lesson	孩子們並不是到一個「為課業落後孩童而設的課輔中心」
旗幟	qízhì	banner	並在我們的基因上插上他們的旗幟
勞累	láolèi	tire	我真的覺得勞累，每個人都會。
趕忙	gănmáng	Quickly	大家亂成一團，趕忙收拾東西，準備逃走。
拖	tuō	drag	族長對他們說：「對不起，我們不能帶你們走，你們會拖累我們，
廉潔	liánjié	probity	這樣，就業和基礎服務有了，最後還有了廉潔的政府。
不堪	búkān	extremely	由於購買汽車費用很高，報廢的汽車基本上破舊不堪
撰寫	zhuànxiě	Writing	聖經讓我想起維基百科,因為它是由許多人編輯、撰寫而成的
乘	chéng	multiply	到目前為止，我們已經服務過兩位客戶，我們將會宣佈另外兩位將搭乘
未免	wèimiăn	It’s inevitable	雖然阿肯色州是克林頓的家鄉，但當中的差距未免也太大！
換取	huànqŭ	For	他們準備好給你某東西，換取他們渴求的，不論是什麼。」
漁民	yúmín	fisherman	對於漁民而言很棒。可以賺很多錢。可以促進地方經濟。
國境	guójìng	border	每年 中國政府在中國境內逮捕了無數的北韓人民
讀物	dúwù	Reading	這就是我為何開始研究阿滋海默氏症。我開始閱讀關於阿滋海默氏症的讀物，
朗讀	lăngdú	read aloud	於是，這裡有英國首相布萊爾在練習和朗讀他的演講。
辯論	biànlùn	debate	因此，這些報紙、小報、辯論都被利用了，它們全都是有關這種作品的。
某些	mǒuxiē	some	所以必然潛藏一個絕對顛覆性的科技，我猜，它在某些層面上也為你讓人們能夠有規模的上火星的夢想鋪路。
挑剔	tiāotì	fastidious	現在，大家可以叫我挑剔先生。我只是個廣告人...
外銷	wàixiāo	Export	這樣寮國和柬埔寨可以用更低廉的價格外銷產品，
萎縮	wěisuō	atrophy	你可以看到纖維肌症﹐愛滋﹐憂鬱症﹐和肌肉萎縮性側索硬化症
打擊	dăjí	hit	由於煤油和煤氣的競爭，以鯨油為燃料的照明市場受到致命打擊，
正義	zhèngyì	justice	我們的目標是一個快樂而多元的、安全的、健康的及正義的世界，
競賽	jìngsài	contest	你要參加競賽嗎？不。所以他們覺得不可能有人贏得這個獎。
證人	zhèngrén	witness	[ “我是這些事件的目擊證人，這些圖片就是我的證詞” ]
堵	dŭ	stop up	用他的手指堵住堤防的裂縫，避免洪水淹沒荷蘭等等之類的事。
微弱	wéiruò	faint	經過這遙遠的距離，當它的信號被我們接收到時已經變的非常的微弱了
高見	gāojiàn	High opinion	當然更不是說什麼多疑的在下本人的任何高見
錄影	lùyǐng	video	舉例來說，我了解一些老師不能馬上習慣有一台錄影機在教室。
憂鬱	yōuyù	melancholy	你可以看到纖維肌症﹐愛滋﹐憂鬱症﹐和肌肉萎縮性側索硬化症
乒乓球	pīnpāngqi	ping pong	大概都是拿來玩 乒乓球 遊戲(最早的電玩)，
隨著	suízhe	With	隨著書寫的發明，城市出現了。這個關係看上去有點牽強。但是我很喜歡，
守	shǒu	guard	像是 "守護者" ，也就是我負責的公司，還有 "七暈八素"也是
透過	tòuguò	permeance	但總是有動人的歌詞透過動聽的旋律在世界各地感動你的耳朵與心靈。
絲毫	sīháo	Slightest	但這一項 - 這項驚心動魄，在我絲毫沒有思考準備的時候
情操	qíngcāo	sentiment	是人們的價值觀, 與他們的崇高情操,
辭	cí	words	說："你是個偉大的指揮家。我們不要和你一起工作，請辭職。"
採光	căiguāng	lighting	使用自然採光，是個很友善的空間
損	sŭn	injure	政治家的心態就是這是一個“零和”心態，即一方有所得，另外一方必然有所損失，得失相加等於零。
不動產	búdòngch	real estate	買主往往在買了不動產之後就負債
態勢	tàishì	Situation	真相建立了一個強而有力的態勢。
質疑	zhíyí	oppugn	我本來想說的是所回答的問題，但我想應該說是被質疑的答案，標示
橫	héng	across	不一定是猶太人才有這種反應。 (譯註：猶太媽媽的刻版印象是專橫嘮叨、管教甚嚴)
軟體	ruăntǐ	Software	這一開始，是我們實驗室的一個博士班學生，所創造的一個類似螢幕保護程式的軟體
婦人	fùrén	woman	這裡有一個老婦人對我有這麼大的信心,我一定要給她最好的
詞彙	cíhuì	vocabulary	只因為他們故意在論文中使用了艱澀的詞彙。但如果你真的理解它，他們說，
活	huó	live	我們活在「玻璃天花板」之下（通常專指女性所遭遇的在工作中升級時遇到的一種無形的障礙, 使人不能到達較高階層）
紀律	jìlǜ	discipline	具抑制作用的細胞,專門控制它的鄰居,使大家安靜下來守紀律.
針灸	zhēnjiŭ	acupuncture	計劃需要時間。而我正計劃做城市針灸。
治療	zhìliáo	treat	「天啊！終於！隨之而來的東西太多了，虛擬現實、神經操縱、夢幻仿真......神經編碼、記憶編輯、心理障礙治療，未來太美好了！」
中肯	zhōngkěn	apropos	嗯，有許多答案，但其中肯定包括這個答案：
響亮	xiăngliàng	resounding	當時還沒有電吉他，為了製作更響亮的吉他，所以有了這發明。
打量	dăliàng	think	但是在某種意義上說，這就像，我把你打量一番，
邊緣	biānyuán	edge	肯•詹寧斯(美國〈危險邊緣〉機智問答節目冠軍) 的機智，
介入	jièrù	intervention	他們會說 " 人民的力量只有在有外國力量介入時才會出現 "
接連	jiēlián	back-to-back	香氣可拆開成接連散發並組合如和弦的各種氣味
揉	róu	knead	如果你特別喜歡搞破壞，你還可以把它胡亂揉成一團，
安頓	āndùn	Settled	我不只是想安頓下來而已﹐她是最好的了
定義	dìngyì	definition	它也將為人類意識帶來更深層次的精神境界，重新定義人類的需求
探究	tànjiù	explore	當我們開始探究快樂時光到底有多快樂的時候，快樂時光就結束了。
會意	huìyì	Knowing	這些因素能促使一個社會意識到並解決它所遇到的環境問題。
央求	yāngqiú	beg	當你把我綁在桅杆上，我會央求你把我釋放。
親熱	qīnrè	Made	但是我們可以互相觸摸，如果我們夠親密的話，我們也可能相互的親熱
搖晃	yáohuàng	shake	剛好有風吹過來，或者我們搖晃那個樹幹，結果會怎樣？
學年	xuénián	academic year	但她比其他同學年長， 當時她十二歲
出路	chūlù	way out	這本小說是否顯示我們一條出路嗎？我不確定。
欽佩	qīnpèi	admiration	我想我在左側的男孩身上還沒看到愛戴和欽佩。（笑聲）
分割	fēngē	partition	這座美麗的莊園會不會看起來像是被建築物給分割開？
冒險	màoxiăn	venture	最不該做的事，莫過於跑到熱氣球啊，船啊，什麼的上去冒險，
各自	gèzì	Their	激發他們，要知道，就是使他們發揮各自最佳的優勢。
販賣	fànmài	vend	你知道當咖啡被當作貨品，像咖啡豆一樣販賣時值多少錢嗎？
視覺	shìjué	vision	不具科技背景，不具生物學背景的業餘者運用了電玩，使他們可以用視覺去重新排列蛋白質的結構，
培育	péiyù	cultivate	對我來說，如果你想去培育創業家，給孩子零用錢是錯的。
傢伙	jiāhuǒ	guy	然後在櫃台後的那傢伙說：「我知道，女士。全部的書送來時都這樣。」
甜美	tiánměi	sweet	氣泡，清新，柔和，甜美多汁，光滑，大又甜的葡萄酒
支撐	zhīchēng	prop up	你知道的，直到今日，一直都是好奇心在支撐航太總署的經費來源，
鋤頭	chútóu	hoe	鐮刀和鋤頭，
迷惑	míhuò	confused	但是，全世界最好的人工智慧卻會認為這很複雜又令人迷惑
熱潮	rècháo	upsurge	資源需求的熱潮在民主體制下，比專制下的結果還糟糕
懊惱	àonăo	chagrin	他們承受多少內心的懊惱　不能給我看我想看的
等候	děnghòu	wait	在衣索比亞，申請市內電話線的平均等候時間
血汗	xiěhàn	sweat and toil	我會帶你走遍整條街並參觀中國血汗工廠
前程	qiánchéng	future	華爾街的工作和前程似錦的未來
危害	wéihài	harm	如果我們可以使物質變活，那麼我們會不會製造物質危害呢？
觀感	guāngăn	Perception	但真的太過實用嗎? 我是指這就是你們對時尚產業的觀感嗎?
綿延	miányán	Stretches	在這一個綿延的海灘上我們感覺很好。
文獻	wénxiàn	literature	所以我瘋狂似的看科學文獻，而接下來是我所了解到的。
戰火	zhànhuǒ	War	飽經戰火的剛果在下面 -- 百分之二、三、四的樣子
要犯	yàofàn	Make	我不需要犯法、不需要欺騙別人、也不需要說謊，
伺候	cìhòu	serve	當他在為百老匯音樂劇寫劇本時，我會在房門外伺候。
批准	pīzhŭn	approve	♫我是丹尼 斯．庫辛尼奇（美國眾議院議員），我批准了這些言論。♫
流程	liúchéng	The process	還可以改變你的工作流程 — 事實上，它可以改變你的公司裡一切事物。
船隻	chuánzhī	vessels	通過發出更大的叫聲，如我剛才在播放船隻的聲音時所做的，
入境	rùjìng	Immigration	但是，若新移民要入境和留在這個國家，
打烊	dăyáng	Closed	我心想：「噢，吧台剛打烊吧。」
沙啞	shāyă	husky	可能可以幫助愛鸚斯坦為她一直醫不好的沙啞嗓子找到解藥。
灌溉	guàngài	irrigate	因為大洪水以前上帝使水從地裡冒出來灌溉大地。」
異常	yìcháng	abnormal	心室中隔缺損、心膜缺損、四合症(四種心臟異常症狀)等，
教化	jiàohuà	civilize	在去宗教化的現世，即使完成大學，你的演講還是可以很糟糕
革新	géxīn	innovation	那麼我真的認為我們正在做的是具有革新意義的事情。
索賠	suǒpéi	claim	那時沒有醫療索賠，至少沒有聯邦政府認可那種
漏	lòu	leak	但如果情況不是那麼順利的話，我就會像李文和一樣被關起來了。（李文和因洩漏國家研究計畫內容入獄）
島嶼	dăoyŭ	island	在恢復土壤肥力的過程中，所有太平洋的島嶼都能從來自亞洲的大陸塵埃獲利，
出超	chūchāo	export surplus	"你不怕嗎？你不擔心你再沒有辦法寫出超越這本書的作品了嗎？"
淹	yān	submerge	毆打埃及人,把他們淹死在紅海裡,摧毀整個城市,(因為埃及人惹)上帝生氣。
案件	ànjiàn	case	當他們抵達緊急案件現場時，他們怎麼去偵測空氣狀況?
射擊	shèjí	shoot	我們將它裝置在砲塔上，並裝置了攝影機，當他們朝你射擊時，
就緒	jiùxù	ready	才能夠到達我們認為“一切準備就緒”的階段。
鑲	xiāng	inlay	並帶來了鑲著寶石的華麗陽傘要供養他。
道義	dàoyì	Moral	我們應否使用康德的道義論的道德框架，
水稻	shuǐdào	rice	黃金水稻是在洛克菲勒基金會的支持下發展來的
敏捷	mǐnjié	agile	在猶他州見面，並一起寫下十二點敏捷開發方法的宣言。
凡是	fánshì	all	凡是有信仰的人，都會有對於天堂模樣的猜想。
綁	băng	tie	她會綁二片海綿在手上，另外兩片綁在膝上。我媽媽是強力吸附劑(最佳學習者的雙關用法)（笑聲）
察覺	chájué	become aware of	那些社會怎麼可能沒有察覺到自己對環境的影響，進而懸崖勒馬？
好手	hăoshǒu	expert	有魅力，是個社交好手，又很會歌唱。
無疑	wúyí	Undoubtedly	對她說　＂你知道嗎，毫無疑問的如果這個笨蛋都能順利穿越沙漠；
何	hé	what	克里斯•安德森：這何時能夠成真？對我們來說，這一切不再是只發生在實驗室或是只在舞台上示範？
法治	făzhì	rule of law	身為一個腫瘤科醫師，我心知肚明末期癌症是無法治療的
必定	bìdìng	certainly	如果我們的嗅覺是在辨別分子振動，我們的鼻子中必定有個光譜儀
戒	jiè	warn	這是史蒂夫、瑪麗和他們的同事一起繪製的一幅立體的紅杉樹冠層地圖，這棵樹叫“伊露維塔”（魔戒中的眾生之父），
投機	tóujī	venture	可以從其它綠色的投機者、背叛者、作弊者
體面	tǐmiàn	decent	所以，好的生活並不是看起來體面、感覺很好、物質上滿足，
沸騰	fèiténg	boils	我恐懼而又期待，我內心沸騰如火卻又寒冷如冰。
力學	lìxué	mechanics	但量子力學最主要一點就是: 它與機率有關,(測不準, 上帝擲骰子)
本事	běnshì	skill	而僅僅在四年間，他們就很有本事地虧損了大約兩千億美元
不法	bùfă	illegal	事實上，他被指派了一件不法行為的訴訟案件
通用	tōngyòng	general	我們不可能討論出一套通用方案，既能解決這些地方的艾滋病問題
瞬間	shùnjiān	moment	理：不，他有叫我跳傘，但是一旦他跳出艙外，瞬間少了一個人的重量，
青蛙	qīngwā	frog	如果天文學家是青蛙的話，那麼他們可能就會看見芝麻街的青蛙柯密特。
情景	qíngjǐng	scene	核子冬天會把我們殺死。（註：全球發動核戰後的情景）
隔	gé	partition	在近五十至六十年我們見證法西斯主義、反猶太主義、種族主義、種族隔離、
身段	shēnduàn	figure	我們能放下身段去找圖表左上方的
固體	gùtǐ	solid	這整個沈機物會是由一大塊固體狀的二氧化碳組成
輪廓	lúnkuò	contour	沒人會注意到不連續的輪廓還有所作的改變。
效忠	xiàozhōng	allegiance	否則上帝不值得我們效忠 。 」
成敗	chéngbài	Success	我怎麼會把我個人的快樂與商場的成敗聯繫在一起？
果斷	guǒduàn	decisive	我們要果斷的處理無神論者這個詞本身的問題，
敬	jìng	respect	也許你們當中的很多人都讚同我們這個大家都要尊敬宗教的有禮貌的文化信念，
所得	suǒdé	income	政治家的心態就是這是一個“零和”心態，即一方有所得，另外一方必然有所損失，得失相加等於零。
貧民	pínmín	Poor	上海之類的地方，但多數卻是擠進貧民窟，那裡有自己的審美觀，
頓時	dùnshí	Suddenly	頓時，我的第一個反應是：
奧妙	àomiào	Secret	但我不像其他演講者，我不會講述有關宇宙的奧妙，
克制	kèzhì	restrained	這與啟用武力無關，問題在於如何克制使用武力
求學	qiúxué	Study	就像我父母在海外求學之後會回國一樣，我也回到家鄉，
本性	běnxìng	nature	當我們感到被憎恨時，我們的反應會更加激烈，這是人的本性，
表白	biăobái	vindicate	現在, 其實也有另外的方法來讓別人開放的表白自己,
精	jīng	essence	（譯者覺得意思是“我不干涉你們的精神世界，但是你們別耽誤我保障你們物質生活的工作。”）
估價	gūjià	valuation	評估價值就是試圖找出某樣東西的價值，我們對它的享受程度，
把手	băshǒu	handle	看看它是什麽做的，這些小把手是做什麽用的，響弦又是什麽。
公認	gōngrèn	Recognized	一個不再是高中裡公認最完美和最受歡迎的孩子的我，
凝視	níngshì	stare	一個成年僕人，一個凝視著年輕一點的僕人的老一點的僕人
航行	hángxíng	voyage	並且展示了曲速飛行 (科幻影集中星際航行的方式) 的實際可能性。
屆時	jièshí	At that time	因為屆時我可能就不會再說我如何找到第一份工作
定額	dìngé	Fixed	然後牛奶定額配給
富貴	fùguì	Rich	無論貧富貴賤，都能享有同等機會
指點	zhǐdiăn	point	城裡人憑什麼對我們郊區鄉民指點怎麼用我們的時間?
他人	tārén	others	就像是這些清潔人員知道在為他人服務時甚麼時後可以不用在意這項工作本身職能的要求一般的。
鬥志	dòuzhì	Fight	清楚表達細微變化、激發他人鬥志的能力 
清掃	qīngsăo	Cleaning	貧窮的畫家和經紀人、菲律賓傳教士、清掃落葉的工人、
精光	jīngguāng	Naked	他們會想盡辦法來把你騙得精光
即	jí	namely	政治家的心態就是這是一個“零和”心態，即一方有所得，另外一方必然有所損失，得失相加等於零。
慫恿	sǒngyǒng	Encouraged	然而我一直被慫恿著把這個聲音看做
旅費	lǚfèi	Travel	但負擔不起旅費
協商	xiéshāng	negotiate	當他在巴爾幹地區，處理著這些協商時被冠上這個綽號。
冥想	míngxiăn	meditation	某靈修者冥想同情時表現出來的總體標準差
涉嫌	shèxián	Suspected	在涉嫌凶殺案件的調查中
過癮	guòyǐn	Enjoyable	那到底是為什麼呢? 是不是共用東西會讓你比較過癮嗎?
裁減	cáijiăn	Cut	工作內容有貿易，有裁減軍備，
懷疑	huáiniàn	doubt	他就會懷疑：『如果真是我母親， 為什麼我看見她卻沒有溫暖的感覺？』
措施	cuòshī	measure	這問題歸結起來就是去發現小行星，爾後到達它所在的地方并對其採取一定措施。
採訪	căifăng	interview	在《巴黎評論》對詹姆斯•鮑德溫（美國作家）的採訪中也有所提及
勒索	lèsuǒ	extortion	或者用於勒索、政治目的，
放寬	fàngkuān	relax	它並沒有依賴任何特殊的物理學.沒有特殊的放寬
悲哀	bēiāi	sorrowful	「喔，完全不會的。如果我感受得到他們的痛苦悲哀，一定下不了手。
出土	chūtŭ	Unearthed	少數字母和某些出土文字雷同，能夠辨識
刻苦	kèkŭ	assiduous	刻苦訓練的、擁有突變基因的運動員展示的舞臺嗎？
損害	sŭnhài	damage	所以，這裡到底發生了什麼事? 我們在森林中製造了巨大的經濟損害。
講理	jiănglǐ	Reasonable	我努力地想和她們講理
瞪	dèng	stare at	火箭在隆隆巨響中發射升空，讓攝影師目瞪口呆地
外號	wàihào	nickname	那是幾年前的事。他的外號是聖塔克魯茲勒人魔。
諾言	nuòyán	promise	他已經過世了，但我還是堅持諾言。
變通	biàntōng	Modifications	不過一旦成功，我們就真正能開始嘗試變通
犯規	fànguī	foul	我有些犯規行為更是惡名昭彰。
尊嚴	zūnyán	dignity	所以，如果我說，“自由，尊嚴，獨立（英語）”
捧場	pěngchăng	Cheer	如果大家捧場的話，脫口秀就有崛起的一天。
提升	tíshēng	hoist	所以國内生産總值向上提升了很多--太棒了！這是短期的效應。
心軟	xīnruăn	softhearted	我是一個心軟的民主主義者，我可以做什麼？
贊同	zàntóng	Agree	你是不會看見的。這有一點誇張了，一些物理學家不會贊同這樣的觀點
氣壓	qìyā	atmospheric pressure	就像是它內部的大氣壓力。這個星球上有二種壓力，
皺	zhòu	crease	因為它不合身且被胡亂地塞在你的腦袋裡，所以它充滿了皺摺。
文書	wénshū	Instrument	我們是不是應該發展一套只有文書處理功能的文書處理軟體？
葉	yè	leaf	風車葉片越做越大。現在可以把風車軸提昇到離地三百英呎高的地方，
毛毯	máotăn	blanket	這是一件很瘋狂的事。這個巨大的鑚探設備被毛毯包裹著，
集團	jítuán	clique	這裏是聚友網，也可稱作福克斯互動媒體，新聞集團下屬公司的老板,
廢除	fèichú	abrogate	他們想要廢除情人節，因為認為紅色是不規矩的。
漫長	màncháng	Long	許多匈牙利的城鎮香村，在漫長得歷史上，也受過外敵入侵，
合同	hétóng	contract	我壟斷了這個市場，你不需要合同。
任期	rènqí	tenure	在他第一任的任期結束後，又成功連任，
輸血	shūxiě	blood transfusion	來傳遞訊號使心室加壓輸血。
報應	bāngyìng	retribution	一張海報應該可以馬上被人了解、看懂，而不需要額外的解釋。
有心人	yǒuxīnrén	There are people with hearts	所以，如果有一群有心人誤用了某些科技資訊，
現狀	xiànzhuàn	status quo	這些年輕人說:"我們能做些什麼?我們要怎麼做才能改變現狀?"
鼓吹	gŭchuī	preach	你現在繼續去養孩子、鼓吹和平和渴望糖果吧。」
全盤	quánpán	Overall	讓我們整個社群能夠自我檢閱，也能全盤檢閱成果
盛裝	shèngzhuā	Dress	人們從紐約的四面八方湧來，盛裝打扮。
審慎	shěnshèn	prudent	我們必須用對待核電站的審慎態度來對待生物科技。
奇異	qíyì	singularity	將有一實驗——有可能製造出一種叫做『奇異微子』的東西，
疙瘩	gēdá	pimple	這真是 -- 我只是說一下，就開始起雞皮疙瘩了，
評估	pínggū	assess	評估價值就是試圖找出某樣東西的價值，我們對它的享受程度，
耐	nài	endure	能在未來成為超級種族嗎？(一小時後 超級鼠耐力依舊...)
默契	mòqì	tacit understanding	♫(索布爾:)有時默契十足 (史溫妮:)有時混亂十足♫
遮蔽	zhēbì	obscured	像是我們真的有辦法遮蔽陽光，有效彌補大氣中過多的二氧化碳，
一心	yìxīn	of one mind	他是個賣紀念品的商人，但他一心想成為一位畫家
喜劇	xǐjù	comedy	白小姐：她真是個天生的喜劇演員。愛鸚斯坦我猜你覺得自己很有名，對不對？
懸崖	xuányái	cliff	它的原理是靠你身體旁邊的上升氣流來飛行，就像海鷗在懸崖邊飛行一樣。
山谷	shāngŭ	valley	如果這個發生，則密西西比山谷的一大部分地區將如一片內陸海洋，
猛烈	měngxliè	fierce	它們叫做旋渦，不是我，他們正在猛烈地分散墨水，
兒女	érnǚ	child	我們從電視和故事書得知這些東西，並且我們也是這樣教育兒女。
暴力	bàolì	violent	這就是這種狀況中的一個例子，因為她的家庭背景並沒有暴力的歷史，
預防	yùfáng	prophylaxis	因為非洲的死亡率居世界最高，但其原因在其他地區都是可以預防的：
熱帶	rèdài	tropic	這現象非常奇特，想像地球南極洲比熱帶地區還熱會是甚麼情況。
驚險	jīngxiăn	Thrilling	你好像已經落入谷底, 所有事情都變得非常的驚險
科幻	kēhuàn	science fiction	並且展示了曲速飛行 (科幻影集中星際航行的方式) 的實際可能性。
兌現	duìxiàn	Cash	現在我們談的是世界銀行，國際貨幣基金組織，承諾的兌現，等等。
預估	yùgū	estimate	當時他們預估人類的基因組大概會在十萬個左右
